Player_Name,Team,Runs,Matches,Strike_Rate,Average,Wickets
Virat Kohli,RCB,741,15,154.69,61.75,
Ruturaj Gaikwad,CSK,583,14,141.20,53.00,
Shubman Gill,GT,426,12,147.90,38.73,
KL Rahul,DC,520,14,136.40,47.27,
Rohit Sharma,MI,417,14,150.35,32.08,
Suryakumar Yadav,MI,345,11,167.80,,0
Yashasvi Jaiswal,RR,435,13,152.10,39.54,
Sanju Samson,RR,531,15,,48.27,0
Hardik Pandya,MI,216,12,143.50,24.00,11
Ravindra Jadeja,CSK,267,14,129.30,26.70,8
Andre Russell,KKR,312,13,185.60,34.67,19
Sunil Narine,KKR,488,14,181.40,34.86,17
Jasprit Bumrah,MI,,13,,,20
Mohammed Siraj,GT,35,14,98.50,8.75,15
Arshdeep Singh,PBKS,18,14,120.00,,19
Rinku Singh,KKR,234,12,152.60,29.25,
Tilak Varma,MI,416,13,149.80,46.22,0
Abhishek Sharma,SRH,484,14,201.30,34.57,
Travis Head,SRH,567,15,191.50,40.50,0
Pat Cummins,SRH,145,14,135.40,18.12,18
