Movie,Ticket_Sold,IMDB_Rating
Jawan,120000,7.0
Jawan,135000,7.1
Jawan,128000,7.0
Jawan,142000,7.2
Jawan,150000,7.1
Jawan,138000,7.0
Pathaan,110000,5.9
Pathaan,125000,6.0
Pathaan,118000,5.9
Pathaan,130000,6.1
Pathaan,122000,6.0
Pathaan,135000,6.1
Animal,145000,6.1
Animal,160000,6.2
Animal,155000,6.1
Animal,170000,6.2
Animal,165000,6.1
Animal,175000,6.3
12th Fail,65000,8.8
12th Fail,72000,8.9
12th Fail,68000,8.8
12th Fail,75000,8.9
12th Fail,80000,8.8
12th Fail,78000,8.9
Stree 2,130000,6.9
Stree 2,145000,7.0
Stree 2,138000,6.9
Stree 2,150000,7.0
Stree 2,155000,7.1
Stree 2,148000,7.0
