transaction_id,user_id,transaction_type,transaction_amount
T001,U101,UPI,250
T002,U102,UPI,450
T003,U103,Recharge,120
T004,U104,Bill Payment,800
T005,U105,UPI,350
T006,U106,Shopping,1200
T007,U107,Recharge,180
T008,U108,UPI,600
T009,U109,Bill Payment,950
T010,U110,Shopping,1500
T011,U111,UPI,300
T012,U112,Recharge,220
T013,U113,UPI,700
T014,U114,Bill Payment,1100
T015,U115,Shopping,1800
T016,U116,UPI,400
T017,U117,Recharge,150
T018,U118,UPI,550
T019,U119,Bill Payment,900
T020,U120,Shopping,1300
T021,U121,UPI,500
T022,U122,Recharge,200
T023,U123,UPI,750
T024,U124,Bill Payment,1000
T025,U125,Shopping,2000
T026,U126,UPI,350
T027,U127,Recharge,100
T028,U128,UPI,650
T029,U129,Bill Payment,1250
T030,U130,Shopping,2500
T031,U131,UPI,450
T032,U132,Recharge,130
T033,U133,UPI,800
T034,U134,Bill Payment,1050
T035,U135,Shopping,1600
T036,U136,UPI,550
T037,U137,Recharge,170
T038,U138,UPI,900
T039,U139,Bill Payment,1400
T040,U140,Shopping,18000
