restaurant_name,city,average_cost_for_two,user_rating
Le Petit Souffle,Makati City,1100,4.8
Izakaya Kikufuji,Makati City,1200,4.5
Cafe Coffee Day,Bangalore,600,3.6
Truffles,Bangalore,800,4.5
The Black Pearl,Bangalore,1400,4.2
Toit,Bangalore,1600,4.4
Hard Rock Cafe,Bangalore,2500,4.3
Meghana Foods,Bangalore,800,4.4
Empire Restaurant,Bangalore,700,4.1
Vidyarthi Bhavan,Bangalore,300,4.5
MTR,Bangalore,500,4.3
The Fatty Bao,Bangalore,1800,4.3
Barbeque Nation,Bangalore,1800,4.6
Absolute Barbecues,Bangalore,1700,4.5
Mainland China,Bangalore,2000,4.2
Chili's,Bangalore,1800,4.1
Smoke House Deli,Bangalore,1600,4.3
The Permit Room,Bangalore,1500,4.2
Nagarjuna,Bangalore,900,4.3
Byg Brewski Brewing Company,Bangalore,2000,4.6
Karama Restaurant,Delhi,700,3.8
Indian Accent,Delhi,4000,4.7
Bukhara,Delhi,5000,4.6
Social,Delhi,1200,4.2
Farzi Cafe,Delhi,1800,4.3
Diggin,Delhi,1500,4.4
Big Chill,Delhi,1600,4.5
Saravana Bhavan,Delhi,700,4.1
Haldiram's,Delhi,600,4.0
Keventers,Delhi,500,4.0
Khan Chacha,Delhi,800,4.2
Wenger's,Delhi,1000,4.3
Sagar Ratna,Delhi,700,3.9
Cafe Delhi Heights,Delhi,1800,4.2
Moti Mahal,Delhi,1400,4.0
Mainland China,Mumbai,2200,4.1
The Bombay Canteen,Mumbai,2500,4.5
Leopold Cafe,Mumbai,1800,4.0
Britannia & Co,Mumbai,1200,4.3
Cafe Madras,Mumbai,500,4.4
Prakash Shakahari Upahaar Kendra,Mumbai,400,4.2
Trishna,Mumbai,2500,4.4
Masala Library,Mumbai,3500,4.6
The Table,Mumbai,3000,4.5
Social,Mumbai,1500,4.2
Pizza By The Bay,Mumbai,1800,4.1
Woodside Inn,Mumbai,1600,4.3
