Day	Product1	Product2	Product3	Product4	Product5
1	   172	       485	       398	       320	       136
2	   121	       238	       70	       152	       171
3	   264	       380	       137	       422	       149
4	   409	       201	       180	       199	       358
5	   307	       393	       463	       343	       435
6	   241	       493	       326	       210	       363
7	   71	       302	       285	       394	       98
8	   108	       219	       237	       320	       177
9	   192	       224	       495	       100	       716
10	   463	       293	       89	       416	       41
