song_name,artist,danceability,energy,valence,popularity
Blinding Lights,The Weeknd,0.514,0.730,0.334,95
Shape of You,Ed Sheeran,0.825,0.652,0.931,94
Perfect,Ed Sheeran,0.599,0.448,0.168,92
Levitating,Dua Lipa,0.702,0.825,0.915,96
As It Was,Harry Styles,0.520,0.731,0.662,93
Stay,The Kid LAROI,0.591,0.764,0.478,91
Bad Habits,Ed Sheeran,0.807,0.897,0.591,90
Peaches,Justin Bieber,0.677,0.696,0.464,89
Watermelon Sugar,Harry Styles,0.548,0.816,0.557,92
Senorita,Shawn Mendes,0.759,0.540,0.749,91
Havana,Camila Cabello,0.765,0.523,0.394,90
Believer,Imagine Dragons,0.776,0.780,0.666,88
Thunder,Imagine Dragons,0.605,0.822,0.288,87
Memories,Maroon 5,0.764,0.327,0.653,89
Girls Like You,Maroon 5,0.851,0.541,0.448,88
Attention,Charlie Puth,0.775,0.628,0.777,86
See You Again,Wiz Khalifa,0.689,0.481,0.283,90
Someone Like You,Adele,0.564,0.330,0.285,91
Hello,Adele,0.481,0.451,0.289,89
Rolling in the Deep,Adele,0.730,0.773,0.507,88
Dance Monkey,Tones and I,0.824,0.588,0.513,93
Cheap Thrills,Sia,0.628,0.696,0.732,87
Unstoppable,Sia,0.468,0.779,0.260,89
Faded,Alan Walker,0.452,0.627,0.166,88
Alone,Marshmello,0.701,0.621,0.640,85
Closer,The Chainsmokers,0.748,0.524,0.661,90
Something Just Like This,The Chainsmokers,0.617,0.635,0.446,89
Counting Stars,OneRepublic,0.664,0.705,0.477,87
Apologize,OneRepublic,0.653,0.710,0.324,84
Radioactive,Imagine Dragons,0.449,0.899,0.236,86
On My Way,Alan Walker,0.461,0.784,0.378,87
Lovely,Billie Eilish,0.351,0.296,0.120,92
Bad Guy,Billie Eilish,0.701,0.425,0.562,94
Ocean Eyes,Billie Eilish,0.602,0.459,0.084,90
Happier,Marshmello,0.687,0.792,0.671,88
Friends,Marshmello,0.626,0.880,0.534,86
Rockstar,Post Malone,0.577,0.522,0.140,89
Circles,Post Malone,0.695,0.762,0.553,91
Sunflower,Post Malone,0.760,0.479,0.913,94
Stay With Me,Sam Smith,0.418,0.420,0.184,87
Unholy,Sam Smith,0.714,0.472,0.238,91
Dynamite,BTS,0.746,0.765,0.737,92
Butter,BTS,0.759,0.459,0.695,90
Cupid,Twin Verve,0.783,0.592,0.702,88
Calm Down,Rema,0.801,0.604,0.718,94
One Kiss,Calvin Harris,0.791,0.862,0.592,89
This Is What You Came For,Calvin Harris,0.777,0.927,0.465,88
Titanium,David Guetta,0.603,0.787,0.301,90
Wake Me Up,Avicii,0.532,0.783,0.643,91
The Nights,Avicii,0.528,0.835,0.654,89
